Location,Coordinates,Latitude,Longitude
"ATHENS ST & MOUNT AUBURN ST, Cambridge, MA","(None, None)",,
"0 Dewolfe St, Cambridge, MA","(42.3692903, -71.1172028)",42.3692903,-71.1172028
"FRONT ST & WINDSOR ST, Cambridge, MA","(None, None)",,
"Windsor St & State St, Cambridge, MA","(None, None)",,
"0 BOW ST, Cambridge, MA","(42.3717565, -71.1175283)",42.3717565,-71.1175283
"0 ARROW ST, Cambridge, MA","(42.3713731, -71.1152199)",42.3713731,-71.1152199
"IRVING ST & Irving St, Cambridge, MA","(42.3761076, -71.1108506)",42.3761076,-71.1108506
"CENTRAL SQ & Central Sq, Cambridge, MA","(42.3653334, -71.1036028)",42.3653334,-71.1036028
"MAGAZINE ST & CHESTNUT ST, Cambridge, MA","(None, None)",,
"BROOKLINE ST & WATSON ST, Cambridge, MA","(None, None)",,
"200 CHESTNUT ST, Cambridge, MA","(42.358397, -71.112081)",42.358397,-71.112081
"200 CONCORD AVE, Cambridge, MA","(42.3822695, -71.1309992)",42.3822695,-71.1309992
"200 BINNEY ST, Cambridge, MA","(42.3659513376804, -71.08360120857039)",42.3659513376804,-71.08360120857039
"100 ST SAUVEUR CT, Cambridge, MA","(None, None)",,
"0 SPARKS ST, Cambridge, MA","(42.376221, -71.1303815)",42.376221,-71.1303815
"0 CLIFTON ST, Cambridge, MA","(42.39564, -71.1362964)",42.39564,-71.1362964
"0 GIBSON ST, Cambridge, MA","(42.3758735, -71.1324692)",42.3758735,-71.1324692
"OTIS ST & SEVENTH ST, Cambridge, MA","(None, None)",,
"0 FARWELL PL, Cambridge, MA","(42.3749152, -71.1210038)",42.3749152,-71.1210038
"100 RAYMOND ST, Cambridge, MA","(42.386008375, -71.126849875)",42.386008375,-71.126849875
"100 LINCOLN WAY, Cambridge, MA","(42.38785905, -71.12889234846041)",42.38785905,-71.12889234846041
"100 MARKET ST, Cambridge, MA","(38.570477, -76.072832)",38.570477,-76.072832
"Massachusetts Ave & SOMERVILLE AVE, Cambridge, MA","(None, None)",,
"100 Winthrop St, Cambridge, MA","(42.372156, -71.120722)",42.372156,-71.120722
"100 CAMBRIDGEPARK DR, Cambridge, MA","(42.394301600000006, -71.14484136407273)",42.394301600000006,-71.14484136407273
"0 UPTON ST, Cambridge, MA","(42.3626561, -71.1082198)",42.3626561,-71.1082198
"0 Church St, Cambridge, MA","(42.3743873, -71.120215)",42.3743873,-71.120215
"0 BROOKFORD ST, Cambridge, MA","(42.39955, -71.134258)",42.39955,-71.134258
"100 APPLETON ST, Cambridge, MA","(42.38015865217391, -71.13398973913044)",42.38015865217391,-71.13398973913044
"PORTER SQ & Porter Sq, Cambridge, MA","(42.3885028, -71.1192991)",42.3885028,-71.1192991
"0 LAUREL ST, Cambridge, MA","(42.3628341, -71.11063)",42.3628341,-71.11063
"200 Elm St, Cambridge, MA","(42.37152585, -71.09606498403778)",42.37152585,-71.09606498403778
"MAIN ST & PORTLAND ST, Cambridge, MA","(None, None)",,
"MOUNT VERNON ST & UPLAND RD, Cambridge, MA","(None, None)",,
"0 CAMBRIDGE TER, Cambridge, MA","(42.3880146, -71.1235273)",42.3880146,-71.1235273
"100 BRISTOL ST, Cambridge, MA","(42.367472, -71.094317)",42.367472,-71.094317
"WADSWORTH ST & Wadsworth St, Cambridge, MA","(42.3616096, -71.0843016)",42.3616096,-71.0843016
"COLUMBIA ST & LINCOLN ST, Cambridge, MA","(None, None)",,
"Elm St & HAMPSHIRE ST, Cambridge, MA","(None, None)",,
"300 FRESH POND PKY, Cambridge, MA","(42.3751945, -71.1394242)",42.3751945,-71.1394242
"200 UPLAND RD, Cambridge, MA","(42.386219, -71.127034)",42.386219,-71.127034
"0 RICHDALE AVE, Cambridge, MA","(42.3888775, -71.124958)",42.3888775,-71.124958
"200 MAIN ST, Cambridge, MA","(None, None)",,
"0 YERXA RD, Cambridge, MA","(42.39189, -71.129158)",42.39189,-71.129158
"LANDSDOWNE ST & PACIFIC ST, Cambridge, MA","(None, None)",,
"CEDAR ST & Massachusetts Ave, Cambridge, MA","(42.3979217, -71.1310378)",42.3979217,-71.1310378
"0 HOMER AVE, Cambridge, MA","(42.375678, -71.1481191)",42.375678,-71.1481191
"0 MAGOUN ST, Cambridge, MA","(42.399416, -71.135206)",42.399416,-71.135206
"INMAN ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"BRATTLE ST & Harvard Sq, Cambridge, MA","(None, None)",,
"200 WORCESTER ST, Cambridge, MA","(42.3663946, -71.0982656)",42.3663946,-71.0982656
"0 KIRKLAND ST, Cambridge, MA","(42.3779042, -71.1081276)",42.3779042,-71.1081276
"MASSACHUSETTS AVE & Cedar St, Cambridge, MA","(42.3979217, -71.1310378)",42.3979217,-71.1310378
"PACIFIC ST & SIDNEY ST, Cambridge, MA","(None, None)",,
"0 LANDSDOWNE ST, Cambridge, MA","(42.3613352, -71.0984709)",42.3613352,-71.0984709
"100 HAMPSHIRE ST, Cambridge, MA","(42.369021000000004, -71.09539292774568)",42.369021000000004,-71.09539292774568
"0 NOTRE DAME AVE, Cambridge, MA","(42.3917676, -71.1318622)",42.3917676,-71.1318622
"100 GERRYS LANDING RD, Cambridge, MA","(None, None)",,
"400 HURON AVE, Cambridge, MA","(42.380824, -71.14014)",42.380824,-71.14014
"WESTERN AVE & PLEASANT ST, Cambridge, MA","(None, None)",,
"100 HIGHLAND AVE, Cambridge, MA","(40.024615, -81.583538)",40.024615,-81.583538
"GARFIELD ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"ALBANY ST & Massachusetts Ave, Cambridge, MA","(42.3607557, -71.0956377)",42.3607557,-71.0956377
"HARVARD ST & PORTLAND ST, Cambridge, MA","(None, None)",,
"0 SARGENT ST, Cambridge, MA","(42.3923655, -71.1319547)",42.3923655,-71.1319547
"0 HUMBOLDT ST, Cambridge, MA","(42.385321, -71.120939)",42.385321,-71.120939
"100 AMHERST ST, Cambridge, MA","(42.3604958, -71.0862068)",42.3604958,-71.0862068
"BROADWAY & HAMPSHIRE ST, Cambridge, MA","(42.3656288, -71.0914149)",42.3656288,-71.0914149
"0 WALNUT AVE, Cambridge, MA","(42.38697, -71.122518)",42.38697,-71.122518
"100 MOUNT PLEASANT ST, Cambridge, MA","(42.3882822, -71.1253559)",42.3882822,-71.1253559
"Massachusetts Ave & ALBANY ST, Cambridge, MA","(42.3607557, -71.0956377)",42.3607557,-71.0956377
"0 WALDEN ST, Cambridge, MA","(42.385969, -71.131536)",42.385969,-71.131536
"Massachusetts Ave & CHURCH ST, Cambridge, MA","(42.3942271, -71.1268685)",42.3942271,-71.1268685
"Massachusetts Ave & ROSELAND ST, Cambridge, MA","(None, None)",,
"0 RICHARD AVE, Cambridge, MA","(42.4000619, -71.1336933)",42.4000619,-71.1336933
"Elm St & Hampshire St, Cambridge, MA","(None, None)",,
"300 ALBANY ST, Cambridge, MA","(42.358135094197685, -71.10165266809666)",42.358135094197685,-71.10165266809666
"0 ERIE ST, Cambridge, MA","(42.357494, -71.1036958)",42.357494,-71.1036958
"100 MEMORIAL DR, Cambridge, MA","(42.360098449999995, -71.08505061194705)",42.360098449999995,-71.08505061194705
"0 PEMBERTON ST, Cambridge, MA","(42.3904812, -71.1280997)",42.3904812,-71.1280997
"RIVER ST & GREEN ST, Cambridge, MA","(42.3650866, -71.1050597)",42.3650866,-71.1050597
"100 ERIE ST, Cambridge, MA","(42.35867745, -71.1057444370642)",42.35867745,-71.1057444370642
"NEW ST & Danehy Park, Cambridge, MA","(None, None)",,
"100 UPLAND RD, Cambridge, MA","(42.387449, -71.122978)",42.387449,-71.122978
"0 REGENT ST, Cambridge, MA","(42.390483, -71.1216096)",42.390483,-71.1216096
"0 ROGERS ST, Cambridge, MA","(42.3663721, -71.0819087)",42.3663721,-71.0819087
"MOUNT AUBURN ST & Brattle St, Cambridge, MA","(None, None)",,
"FRESH POND PKY & HURON AVE, Cambridge, MA","(None, None)",,
"ELLSWORTH AVE & Ellsworth Ave, Cambridge, MA","(42.37326, -71.10702)",42.37326,-71.10702
"0 FAYETTE ST, Cambridge, MA","(42.372588, -71.103196)",42.372588,-71.103196
"COLUMBIA ST & WEBSTER AVE, Cambridge, MA","(42.3730344, -71.0943444)",42.3730344,-71.0943444
"200 SIDNEY ST, Cambridge, MA","(42.3581288, -71.1047445)",42.3581288,-71.1047445
"100 COOLIDGE HILL, Cambridge, MA","(42.36764808876957, -71.15186547446045)",42.36764808876957,-71.15186547446045
"0 Brookline Pl, Cambridge, MA","(42.3614462, -71.1027713)",42.3614462,-71.1027713
"100 WILLOW ST, Cambridge, MA","(42.372216217028914, -71.09214033307181)",42.372216217028914,-71.09214033307181
"0 PRENTISS ST, Cambridge, MA","(42.3844406, -71.1175509)",42.3844406,-71.1175509
"BROADWAY & MARKET ST, Cambridge, MA","(None, None)",,
"0 WEBSTER AVE, Cambridge, MA","(42.3709661, -71.0937034)",42.3709661,-71.0937034
"300 Kendall Sq, Cambridge, MA","(42.365965, -71.09108)",42.365965,-71.09108
"BROOKLINE PL & PACIFIC ST, Cambridge, MA","(None, None)",,
"Prospect St & Hampshire St, Cambridge, MA","(None, None)",,
"MULLER AVE & MURRAY HILL RD, Cambridge, MA","(None, None)",,
"100 TREMONT ST, Cambridge, MA","(42.373324, -71.096945)",42.373324,-71.096945
"GARDEN ST & Mason St, Cambridge, MA","(42.3768361, -71.1222946)",42.3768361,-71.1222946
"INDUSTRIAL PARK RD & North Point Blvd, Cambridge, MA","(None, None)",,
"PACIFIC ST & Landsdowne St, Cambridge, MA","(None, None)",,
"BAY ST & GREEN ST, Cambridge, MA","(None, None)",,
"Massachusetts Ave & REGENT ST, Cambridge, MA","(None, None)",,
"0 PILGRIM ST, Cambridge, MA","(42.3604856, -71.1013657)",42.3604856,-71.1013657
"100 CAMBRIDGE PKY, Cambridge, MA","(42.3651412, -71.0760128)",42.3651412,-71.0760128
"Sidney St & Pacific St, Cambridge, MA","(42.359743699999996, -71.10284559738956)",42.359743699999996,-71.10284559738956
"100 STANDISH ST, Cambridge, MA","(42.3822809, -71.13916)",42.3822809,-71.13916
"0 PROSPECT ST, Cambridge, MA","(42.3664185, -71.1030873)",42.3664185,-71.1030873
"200 Alewife Brook Pky, Cambridge, MA","(42.3891156, -71.1417515)",42.3891156,-71.1417515
"0 YORK ST, Cambridge, MA","(42.3697527, -71.0924778)",42.3697527,-71.0924778
"GRAY ST & LINNAEAN ST, Cambridge, MA","(None, None)",,
"BROADWAY & PRESCOTT ST, Cambridge, MA","(None, None)",,
"800 CAMBRIDGE ST, Cambridge, MA","(42.3743939, -71.1059084)",42.3743939,-71.1059084
"RIVER ST & BLACKSTONE ST, Cambridge, MA","(42.3617309, -71.1149697)",42.3617309,-71.1149697
"0 CALLENDER ST, Cambridge, MA","(42.3653523, -71.1121934)",42.3653523,-71.1121934
"100 FRANKLIN ST, Cambridge, MA","(42.362439, -71.101909)",42.362439,-71.101909
"0 HARDING ST, Cambridge, MA","(42.3732078, -71.0904843)",42.3732078,-71.0904843
"LONGFELLOW PARK & Mount Auburn St, Cambridge, MA","(None, None)",,
"BISHOP ALLEN DR & ESSEX ST, Cambridge, MA","(None, None)",,
"0 JAMES WAY, Cambridge, MA","(42.3702572, -71.0890537)",42.3702572,-71.0890537
"0 MARCELLA ST, Cambridge, MA","(42.371247, -71.0890616)",42.371247,-71.0890616
"0 FORT WASHINGTON PL, Cambridge, MA","(42.3564235, -71.1070313)",42.3564235,-71.1070313
"CAMBRIDGE ST & PEABODY ST, Cambridge, MA","(None, None)",,
"ENDICOTT ST & MEMORIAL DR, Cambridge, MA","(None, None)",,
"HAYES ST & HOWARD ST, Cambridge, MA","(None, None)",,
"2100 MASSACHUSETTS AVE, Cambridge, MA","(42.3915222, -71.1238535)",42.3915222,-71.1238535
"Avon St & Shepard St, Cambridge, MA","(None, None)",,
"HOLYOKE ST & Massachusetts Ave, Cambridge, MA","(42.3731225, -71.1176007)",42.3731225,-71.1176007
"0 LOPEZ AVE, Cambridge, MA","(42.3682795, -71.079847)",42.3682795,-71.079847
"200 FRANKLIN ST, Cambridge, MA","(42.3633285, -71.10351795912621)",42.3633285,-71.10351795912621
"KIRKLAND ST & OXFORD ST, Cambridge, MA","(None, None)",,
"JFK ST & MOUNT AUBURN ST, Cambridge, MA","(None, None)",,
"DUNSTER ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"0 JFK St, Cambridge, MA","(None, None)",,
"0 NEWTON ST, Cambridge, MA","(42.3579624, -71.1109846)",42.3579624,-71.1109846
"0 AMORY ST, Cambridge, MA","(42.3710751, -71.1010218)",42.3710751,-71.1010218
"100 Granite St, Cambridge, MA","(42.3568258, -71.1134836)",42.3568258,-71.1134836
"Brattle St & Hilliard St, Cambridge, MA","(None, None)",,
"Columbia St & Columbia Ter, Cambridge, MA","(None, None)",,
"HARVARD YARD & Harvard Yard, Cambridge, MA","(42.374091, -71.11672130984299)",42.374091,-71.11672130984299
"0 AUSTIN PARK, Cambridge, MA","(42.3670868, -71.1042743)",42.3670868,-71.1042743
"HARVARD SQ & Harvard Sq, Cambridge, MA","(42.3734734, -71.1189431)",42.3734734,-71.1189431
"0 COLUMBIA TER, Cambridge, MA","(42.3648548, -71.0991617)",42.3648548,-71.0991617
"Massachusetts Ave & WOODBRIDGE ST, Cambridge, MA","(None, None)",,
"CHURCH ST & PALMER ST, Cambridge, MA","(None, None)",,
"FIELD ST & Field St, Cambridge, MA","(None, None)",,
"Massachusetts Ave & MOUNT VERNON ST, Cambridge, MA","(None, None)",,
"0 ELLSWORTH AVE, Cambridge, MA","(42.37326, -71.10702)",42.37326,-71.10702
"ALBANY ST & CROSS ST, Cambridge, MA","(None, None)",,
"0 ALPINE ST, Cambridge, MA","(42.38567, -71.136947)",42.38567,-71.136947
"0 Canal Park, Cambridge, MA","(42.3680195, -71.0746449)",42.3680195,-71.0746449
"400 WINDSOR ST, Cambridge, MA","(42.371331, -71.093689)",42.371331,-71.093689
"0 HARWELL DR, Cambridge, MA","(42.3714979, -71.0938633)",42.3714979,-71.0938633
"0 ANTRIM ST, Cambridge, MA","(42.3711028, -71.1032461)",42.3711028,-71.1032461
"100 FROST ST, Cambridge, MA","(42.3843591, -71.1176462)",42.3843591,-71.1176462
"0 TRAILL ST, Cambridge, MA","(42.3757689, -71.1366436)",42.3757689,-71.1366436
"CHARLES ST & FIRST ST, Cambridge, MA","(None, None)",,
"1000 JACKSON PL, Cambridge, MA","(42.392021299999996, -71.13477692977997)",42.392021299999996,-71.13477692977997
"FULKERSON ST & OTIS ST, Cambridge, MA","(None, None)",,
"200 Otis St, Cambridge, MA","(42.371132200000005, -71.08740517305804)",42.371132200000005,-71.08740517305804
"0 Fulkerson St, Cambridge, MA","(42.3678314, -71.0878931)",42.3678314,-71.0878931
"500 Technology Sq, Cambridge, MA","(42.3634681, -71.0925929)",42.3634681,-71.0925929
"Concord Ave & Blanchard Rd, Cambridge, MA","(None, None)",,
"0 CHANNING ST, Cambridge, MA","(42.3754742, -71.13542)",42.3754742,-71.13542
"300 GREEN ST, Cambridge, MA","(42.365268, -71.105193)",42.365268,-71.105193
"300 Rindge Ave, Cambridge, MA","(42.393639, -71.136397)",42.393639,-71.136397
"200 CHARLES ST, Cambridge, MA","(42.36795645, -71.08431145)",42.36795645,-71.08431145
"200 PUTNAM AVE, Cambridge, MA","(42.364367, -71.113768)",42.364367,-71.113768
"PALERMO ST & Willow St, Cambridge, MA","(None, None)",,
"Jefferson St & Harding St, Cambridge, MA","(None, None)",,
"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA","(None, None)",,
"0 CHATHAM ST, Cambridge, MA","(42.3711051, -71.1077764)",42.3711051,-71.1077764
"600 PUTNAM AVE, Cambridge, MA","(42.356834, -71.1067086180393)",42.356834,-71.1067086180393
"0 MARNEY ST, Cambridge, MA","(42.3703351, -71.0895835)",42.3703351,-71.0895835
"100 MARTIN ST, Cambridge, MA","(42.3830388, -71.1210014)",42.3830388,-71.1210014
"100 ORCHARD ST, Cambridge, MA","(42.393526, -71.123276)",42.393526,-71.123276
"ALLSTON ST & SIDNEY ST, Cambridge, MA","(None, None)",,
"ROOSEVELT TOWERS & Windsor St, Cambridge, MA","(None, None)",,
"100 PUTNAM AVE, Cambridge, MA","(42.365445, -71.113605)",42.365445,-71.113605
"100 LINNAEAN ST, Cambridge, MA","(42.3848284, -71.1194567)",42.3848284,-71.1194567
"CAMBRIDGE ST & ELLSWORTH AVE, Cambridge, MA","(None, None)",,
"0 HAYES ST, Cambridge, MA","(42.3664387, -71.1111004)",42.3664387,-71.1111004
"0 JEFFERSON ST, Cambridge, MA","(42.3732078, -71.0904843)",42.3732078,-71.0904843
"BERKSHIRE ST & YORK ST, Cambridge, MA","(None, None)",,
"300 EVERETEZE WAY, Cambridge, MA","(42.37383088888889, -71.09268322222222)",42.37383088888889,-71.09268322222222
"ESSEX ST & Massachusetts Ave, Cambridge, MA","(42.3650692, -71.1029415)",42.3650692,-71.1029415
"Green St & Pleasant St, Cambridge, MA","(None, None)",,
"0 ROOSEVELT TOWERS, Cambridge, MA","(42.373664500000004, -71.09226424422903)",42.373664500000004,-71.09226424422903
"0 HUNTING ST, Cambridge, MA","(42.3725599, -71.0911806)",42.3725599,-71.0911806
"0 ACACIA ST, Cambridge, MA","(42.3751522, -71.1248795)",42.3751522,-71.1248795
"Massachusetts Ave & NORFOLK ST, Cambridge, MA","(None, None)",,
"Broadway & HARVARD ST, Cambridge, MA","(None, None)",,
"1400 CAMBRIDGE ST, Cambridge, MA","(42.373627049999996, -71.10107985173194)",42.373627049999996,-71.10107985173194
"EVERETT ST & OXFORD ST, Cambridge, MA","(None, None)",,
"100 Highland Ave, Cambridge, MA","(40.024615, -81.583538)",40.024615,-81.583538
"200 AUBURN ST, Cambridge, MA","(42.364233299999995, -71.1064168212445)",42.364233299999995,-71.1064168212445
"GREEN ST & SIDNEY ST, Cambridge, MA","(None, None)",,
"WILLOW ST & Willow St, Cambridge, MA","(None, None)",,
"0 SCIENCE PARK, Cambridge, MA","(52.233499800000004, 0.1438198544601731)",52.233499800000004,0.1438198544601731
"0 Newtowne Ct, Cambridge, MA","(42.36394275, -71.09497305495265)",42.36394275,-71.09497305495265
"500 FRANKLIN ST, Cambridge, MA","(42.3674021, -71.11079378541949)",42.3674021,-71.11079378541949
"BINNEY ST & CARDINAL MEDEIROS AVE, Cambridge, MA","(None, None)",,
"500 KENDALL ST, Cambridge, MA","(42.3639915, -71.08135065930595)",42.3639915,-71.08135065930595
"REGENT ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"200 VASSAL LN, Cambridge, MA","(42.383852313595, -71.14000080540539)",42.383852313595,-71.14000080540539
"LANCASTER ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"0 MADISON ST, Cambridge, MA","(42.382338, -71.129072)",42.382338,-71.129072
"100 THINGVALLA AVE, Cambridge, MA","(42.376123, -71.153247)",42.376123,-71.153247
"Sidney St & Massachusetts Ave, Cambridge, MA","(42.3626687, -71.0993294)",42.3626687,-71.0993294
"Green St & Magazine St, Cambridge, MA","(42.3649415, -71.1044099)",42.3649415,-71.1044099
"GARDEN ST & Garden St, Cambridge, MA","(None, None)",,
"THORNDIKE ST & Thorndike St, Cambridge, MA","(42.3705518, -71.0873326)",42.3705518,-71.0873326
"400 BROOKLINE ST, Cambridge, MA","(42.35471195021824, -71.1102970626484)",42.35471195021824,-71.1102970626484
"0 WHITNEY AVE, Cambridge, MA","(42.3591394, -71.112996)",42.3591394,-71.112996
"PUTNAM AVE & MAGAZINE ST, Cambridge, MA","(None, None)",,
"HURLEY ST & SECOND ST, Cambridge, MA","(None, None)",,
"0 HOLDEN ST, Cambridge, MA","(42.3789298, -71.1086555)",42.3789298,-71.1086555
"HOLDEN ST & KIRKLAND ST, Cambridge, MA","(None, None)",,
"0 SURREY ST, Cambridge, MA","(42.3687218, -71.1135888)",42.3687218,-71.1135888
"HAMMOND ST & OXFORD ST, Cambridge, MA","(None, None)",,
"Museum St & Carver St, Cambridge, MA","(None, None)",,
"MOUNT AUBURN ST & Putnam Sq, Cambridge, MA","(None, None)",,
"MAIN ST & Sidney St, Cambridge, MA","(None, None)",,
"CHESTNUT ST & PLEASANT ST, Cambridge, MA","(None, None)",,
"100 FAYETTE ST, Cambridge, MA","(None, None)",,
"0 FROST ST, Cambridge, MA","(42.3843591, -71.1176462)",42.3843591,-71.1176462
"100 PORTER RD, Cambridge, MA","(None, None)",,
"KENDALL SQ & Kendall Sq MBTA Stat, Cambridge, MA","(None, None)",,
"0 GRAY GARDENS EAST, Cambridge, MA","(42.3841, -71.127095)",42.3841,-71.127095
"0 CAMBRIDGE PKY, Cambridge, MA","(42.3651412, -71.0760128)",42.3651412,-71.0760128
"COLUMBIA ST & MARKET ST, Cambridge, MA","(None, None)",,
"200 WASHINGTON ST, Cambridge, MA","(42.365001, -71.09731)",42.365001,-71.09731
"CHAUNCY ST & GARDEN ST, Cambridge, MA","(None, None)",,
"PLEASANT ST & PRINCE ST, Cambridge, MA","(None, None)",,
"200 PEARL ST, Cambridge, MA","(42.35970392513347, -71.10792393338822)",42.35970392513347,-71.10792393338822
"MAGAZINE ST & PUTNAM AVE, Cambridge, MA","(None, None)",,
"MAGAZINE ST & ERIE ST, Cambridge, MA","(None, None)",,
"100 FOLLEN ST, Cambridge, MA","(42.378577, -71.1221937)",42.378577,-71.1221937
"0 ATHENS ST, Cambridge, MA","(42.37017, -71.115554)",42.37017,-71.115554
"200 HAMILTON ST, Cambridge, MA","(42.35974614925373, -71.10873832835821)",42.35974614925373,-71.10873832835821
"0 CHESTER ST, Cambridge, MA","(42.3937055, -71.1243044)",42.3937055,-71.1243044
"BISHOP ALLEN DR & PROSPECT ST, Cambridge, MA","(42.366432, -71.103142)",42.366432,-71.103142
"600 MEMORIAL DR, Cambridge, MA","(42.35396145, -71.10663525)",42.35396145,-71.10663525
"0 CHALK ST, Cambridge, MA","(42.3615814, -71.1092658)",42.3615814,-71.1092658
"0 DAVENPORT ST, Cambridge, MA","(42.3894019, -71.12007)",42.3894019,-71.12007
"BINNEY ST & FIFTH ST, Cambridge, MA","(None, None)",,
"0 SMITH PL, Cambridge, MA","(42.3927178, -71.1505734)",42.3927178,-71.1505734
"CONCORD AVE & MOULTON ST, Cambridge, MA","(42.389706, -71.148277)",42.389706,-71.148277
"100 CLAY ST, Cambridge, MA","(42.3963321, -71.13469515047763)",42.3963321,-71.13469515047763
"Massachusetts Ave & PEARL ST, Cambridge, MA","(42.3647764, -71.1028932)",42.3647764,-71.1028932
"Massachusetts Ave & Essex St, Cambridge, MA","(None, None)",,
"100 FAWCETT ST, Cambridge, MA","(42.3931420015544, -71.1471549654983)",42.3931420015544,-71.1471549654983
"RUFO RD & GORE ST, Cambridge, MA","(None, None)",,
"200 HARVEY ST, Cambridge, MA","(42.397464, -71.136538)",42.397464,-71.136538
"0 MOULTON ST, Cambridge, MA","(42.3908241, -71.1478069)",42.3908241,-71.1478069
"BENT ST & FIRST ST, Cambridge, MA","(None, None)",,
"300 WESTERN AVE, Cambridge, MA","(42.364419549999994, -71.11276059354509)",42.364419549999994,-71.11276059354509
"0 INMAN PL, Cambridge, MA","(42.3697575, -71.1033597)",42.3697575,-71.1033597
"400 CARDINAL MEDEIROS AVE, Cambridge, MA","(42.3714083, -71.08825585315502)",42.3714083,-71.08825585315502
"Banks St & Grant St, Cambridge, MA","(None, None)",,
"100 HOWARD ST, Cambridge, MA","(42.366602126425235, -71.11095203913247)",42.366602126425235,-71.11095203913247
"0 PEABODY TER, Cambridge, MA","(42.3662177, -71.1146723)",42.3662177,-71.1146723
"0 Putnam Gdns, Cambridge, MA","(42.3659111, -71.1129413)",42.3659111,-71.1129413
"100 ALLSTON ST, Cambridge, MA","(42.358114, -71.107463)",42.358114,-71.107463
"200 WILLOW ST, Cambridge, MA","(42.37385005, -71.09167282708853)",42.37385005,-71.09167282708853
"0 HEWS ST, Cambridge, MA","(42.3646389, -71.1130749)",42.3646389,-71.1130749
"BROADWAY & QUINCY ST, Cambridge, MA","(42.374618, -71.1146023)",42.374618,-71.1146023
"200 MOUNT AUBURN ST, Cambridge, MA","(42.3747035, -71.12927450000001)",42.3747035,-71.12927450000001
"HARVARD ST & PRESCOTT ST, Cambridge, MA","(None, None)",,
"LINNAEAN ST & GARDEN ST, Cambridge, MA","(None, None)",,
"CARDINAL MEDEIROS AVE & MARNEY ST, Cambridge, MA","(None, None)",,
"100 WINDSOR ST, Cambridge, MA","(42.364977, -71.096123)",42.364977,-71.096123
"Massachusetts Ave & WENDELL ST, Cambridge, MA","(None, None)",,
"900 MASSACHUSETTS AVE, Cambridge, MA","(42.36801555, -71.10860204990425)",42.36801555,-71.10860204990425
"Cambridge St & Quincy St, Cambridge, MA","(None, None)",,
"100 Willow St, Cambridge, MA","(42.372216217028914, -71.09214033307181)",42.372216217028914,-71.09214033307181
"CHERRY ST & SCHOOL ST, Cambridge, MA","(42.36407655, -71.0977650632729)",42.36407655,-71.0977650632729
"GREEN ST & PEARL ST, Cambridge, MA","(42.364128, -71.103035)",42.364128,-71.103035
"0 MARTIN ST, Cambridge, MA","(42.3830388, -71.1210014)",42.3830388,-71.1210014
"0 COLUMBIA ST, Cambridge, MA","(42.3704001, -71.0959411)",42.3704001,-71.0959411
"BRATTLE ST & WILLARD ST, Cambridge, MA","(None, None)",,
"100 BERKSHIRE ST, Cambridge, MA","(42.37093053333333, -71.09038486666667)",42.37093053333333,-71.09038486666667
"0 ORCHARD ST, Cambridge, MA","(42.391383, -71.120429)",42.391383,-71.120429
"ERIE ST & SIDNEY ST, Cambridge, MA","(None, None)",,
"0 BOARDMAN PL, Cambridge, MA","(42.366941, -71.0966223)",42.366941,-71.0966223
"0 Marcella St, Cambridge, MA","(42.371247, -71.0890616)",42.371247,-71.0890616
"0 WALKER CT, Cambridge, MA","(42.3676944, -71.1140188)",42.3676944,-71.1140188
"BLACKSTONE ST & WESTERN AVE, Cambridge, MA","(None, None)",,
"MOUNT AUBURN ST & STORY ST, Cambridge, MA","(None, None)",,
"STEARNS ST & Esten St, Cambridge, MA","(None, None)",,
"BISHOP ALLEN DR & TEMPLE ST, Cambridge, MA","(None, None)",,
"100 HOMER AVE, Cambridge, MA","(42.375678, -71.1481191)",42.375678,-71.1481191
"COLUMBIA ST & COLUMBIA TER, Cambridge, MA","(None, None)",,
"200 RINDGE AVE, Cambridge, MA","(42.3933778, -71.1325572)",42.3933778,-71.1325572
"ROGERS ST & THIRD ST, Cambridge, MA","(None, None)",,
"JACKSON ST & RINDGE AVE, Cambridge, MA","(None, None)",,
"BENT ST & SECOND ST, Cambridge, MA","(None, None)",,
"CAMBRIDGE ST & MAX AVE, Cambridge, MA","(None, None)",,
"600 TECHNOLOGY SQ, Cambridge, MA","(42.3631036, -71.0931925)",42.3631036,-71.0931925
"Garden St & APPIAN WAY, Cambridge, MA","(None, None)",,
"0 DECATUR ST, Cambridge, MA","(42.3609874, -71.1052841)",42.3609874,-71.1052841
"100 HOLDEN GREEN, Cambridge, MA","(42.3787052, -71.1079667)",42.3787052,-71.1079667
"200 BROOKLINE ST, Cambridge, MA","(42.35899, -71.106171)",42.35899,-71.106171
"1700 CAMBRIDGE ST, Cambridge, MA","(42.3738954, -71.1020854)",42.3738954,-71.1020854
"Holyoke St & Mill St, Cambridge, MA","(None, None)",,
"0 DEWOLFE ST, Cambridge, MA","(42.3692903, -71.1172028)",42.3692903,-71.1172028
"WINDSOR ST & Massachusetts Ave, Cambridge, MA","(None, None)",,
"HOLYOKE ST & MOUNT AUBURN ST, Cambridge, MA","(None, None)",,
"Memorial Dr & PLYMPTON ST, Cambridge, MA","(None, None)",,
